Pursat_PV,Phnom_Penh_PV,Siem_Reap_PV,Kampot_wind,Viet_wind
0.0,0.0,0.0,18322.95633392611,24445.388472872986
0.0,0.0,0.0,20942.61263824191,33484.1133763619
0.0,0.0,0.0,22690.17973920967,37020.9728360125
0.0,0.0,0.0,26463.48942105021,38050.12896013127
2088.1818007713728,5589.066067803062,3653.750976302006,31092.65130557672,36428.81769817687
23598.409482924995,25275.777547313566,22632.548514511287,32839.765984896665,31188.323786978955
36712.042115138946,42832.47620904868,40757.294813428955,28062.297478105338,22381.612950504572
53739.63750450064,53772.063953858196,53799.61695234006,19571.879366404333,18367.625851357243
62133.92690856318,61482.86562133076,61848.4236840277,14567.231689294724,20492.315574647597
65149.733410073604,64000.47744580448,64850.47078919371,15215.95061225034,23587.96010552011
48565.00231775198,60232.044894896404,60413.26527788428,20752.336934716168,30416.75877219098
53669.730307922626,53648.77621937862,52421.59621710668,27947.34490562769,35285.74718078587
38125.11191438121,42986.61545158206,38513.604745364595,31815.56592381995,36012.95627956255
25358.26932380875,27356.211739698592,23800.45668969139,30818.891470651233,34154.251884001285
9666.608467617727,9056.10189615851,7824.216876573072,28068.025769164902,31817.79739457173
0.0,0.0,0.0,23447.655003391435,26657.566858084552
0.0,0.0,0.0,17731.163638378428,20062.20137851242
0.0,0.0,0.0,16656.3989004354,15954.188524431043
0.0,0.0,0.0,18669.69059020029,15050.601623343837
0.0,0.0,0.0,15226.75716574025,16150.743947737159
0.0,0.0,0.0,14737.172705385949,18415.66255963965
0.0,0.0,0.0,15685.13579342475,20972.541565537285
0.0,0.0,0.0,19264.73562718392,25066.693808018015
